RepRapFirmware height map file v2 generated at 2021-05-02 15:06, min error -0.067, max error 0.032, mean -0.030, deviation 0.026
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
46.50,290.50,39.50,246.50,-1.00,61.00,69.00,5,4
  0.012, -0.030, -0.048, -0.052, -0.012
 -0.023, -0.035, -0.040, -0.058,  0.032
 -0.059, -0.048, -0.038, -0.033,  0.008
 -0.019, -0.067, -0.049, -0.041,  0.000
